CODE	MATERIAL	TYPE	DOORS	SPECIFICATION	OPENING	MAT.	INST.	TOTAL
5250	Steel	overhead	rolling	electric oper.	"20'-0"" x 12'-0"""	"4,500"	"2,100"	"6,600"
5300	Steel	overhead	rolling	electric oper.	"20'-0"" x 16'-0"""	"5,350"	"2,975"	"8,325"
5350	Steel	overhead	fire rated	electric oper.	"10'-0"" x 10'-0"""	"3,800"	"1,450"	"5,250"
5400	Steel	overhead	rolling grille	manual oper.	"10'-0"" x 10'-0"""	"3,150"	"1,600"	"4,750"
5450	Steel	overhead	rolling grille	manual oper.	"15'-0"" x 8'-0"""	"4,200"	"2,000"	"6,200"
5500	Steel	vertical lift	1 door w/frame	motor operator	"16'-0"" x 16'-0"""	"27,600"	"9,525"	"37,125"
5550	Steel	vertical lift	1 door w/frame	motor operator	"32'-0"" x 24'-0"""	"64,000"	"6,350"	"70,350"
6000	Aluminum	combination	storm & screen	hinged	"3'-0"" x 6'-8"""	385	99.50	484.50
6050	Aluminum	combination	storm & screen	hinged	"3'-0"" x 7'-0"""	425	109	534
6100	Aluminum	overhead	rolling grille	manual oper.	"12'-0"" x 12'-0"""	"5,175"	"2,800"	"7,975"
6150	Aluminum	overhead	motor oper.	manual oper.	"12'-0"" x 12'-0"""	"7,000"	"3,125"	"10,125"
6200	Alum. & Fbrgls.	overhead	heavy duty	manual oper.	"12'-0"" x 12'-0"""	"2,975"	930	"3,905"
6250	Alum. & Fbrgls.	overhead	electric oper.	manual oper.	"12'-0"" x 12'-0"""	"4,225"	"1,275"	"5,500"
